input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-9735763,R-HSA-9735763,126571,R-HSA-9735763,Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine,Reactome,reactome,,,,['Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine'],ok,
R-HSA-5083628,R-HSA-5083628,126572,R-HSA-5083628,"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",Reactome,reactome,,,,"['Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3']",ok,
R-HSA-5083633,R-HSA-5083633,126573,R-HSA-5083633,"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",Reactome,reactome,,,,"['Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1']",ok,
R-HSA-5083629,R-HSA-5083629,126574,R-HSA-5083629,"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",Reactome,reactome,,,,"['Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2']",ok,
R-HSA-4570571,R-HSA-4570571,126575,R-HSA-4570571,Defective RFT1 causes CDG-1n,Reactome,reactome,,,,['Defective RFT1 causes CDG-1n'],ok,
R-HSA-5619042,R-HSA-5619042,126576,R-HSA-5619042,Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN),Reactome,reactome,,,,['Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)'],ok,
R-HSA-9693928,R-HSA-9693928,126577,R-HSA-9693928,Defective RIPK1-mediated regulated necrosis,Reactome,reactome,,,,['Defective RIPK1-mediated regulated necrosis'],ok,
R-HSA-9657689,R-HSA-9657689,126578,R-HSA-9657689,Defective SERPING1 causes hereditary angioedema,Reactome,reactome,,,,['Defective SERPING1 causes hereditary angioedema'],ok,
R-HSA-5687868,R-HSA-5687868,126579,R-HSA-5687868,Defective SFTPA2 causes IPF,Reactome,reactome,,,,['Defective SFTPA2 causes IPF'],ok,
R-HSA-5619048,R-HSA-5619048,126580,R-HSA-5619048,"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",Reactome,reactome,,,,"['Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)']",ok,
R-HSA-5619104,R-HSA-5619104,126581,R-HSA-5619104,Defective SLC12A1 causes Bartter syndrome 1 (BS1),Reactome,reactome,,,,['Defective SLC12A1 causes Bartter syndrome 1 (BS1)'],ok,
R-HSA-5619087,R-HSA-5619087,126582,R-HSA-5619087,Defective SLC12A3 causes Gitelman syndrome (GS),Reactome,reactome,,,,['Defective SLC12A3 causes Gitelman syndrome (GS)'],ok,
R-HSA-5619039,R-HSA-5619039,126583,R-HSA-5619039,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",Reactome,reactome,,,,"['Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)']",ok,
R-HSA-5619070,R-HSA-5619070,126584,R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),Reactome,reactome,,,,['Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)'],ok,
R-HSA-5619035,R-HSA-5619035,126585,R-HSA-5619035,Defective SLC17A5 causes Salla disease (SD) and ISSD,Reactome,reactome,,,,['Defective SLC17A5 causes Salla disease (SD) and ISSD'],ok,
R-HSA-5619076,R-HSA-5619076,126586,R-HSA-5619076,Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25),Reactome,reactome,,,,['Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)'],ok,
R-HSA-5619067,R-HSA-5619067,126587,R-HSA-5619067,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),Reactome,reactome,,,,['Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)'],ok,
R-HSA-5619062,R-HSA-5619062,126588,R-HSA-5619062,Defective SLC1A3 causes episodic ataxia 6 (EA6),Reactome,reactome,,,,['Defective SLC1A3 causes episodic ataxia 6 (EA6)'],ok,
R-HSA-5619111,R-HSA-5619111,126589,R-HSA-5619111,Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1),Reactome,reactome,,,,['Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)'],ok,
R-HSA-5619071,R-HSA-5619071,126590,R-HSA-5619071,Defective SLC22A12 causes renal hypouricemia 1 (RHUC1),Reactome,reactome,,,,['Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)'],ok,
R-HSA-5619066,R-HSA-5619066,126591,R-HSA-5619066,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1),Reactome,reactome,,,,['Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)'],ok,
