input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-8963678,R-HSA-8963678,127253,R-HSA-8963678,Intestinal lipid absorption,Reactome,reactome,,,,['Intestinal lipid absorption'],ok,
R-HSA-5659898,R-HSA-5659898,127254,R-HSA-5659898,Intestinal saccharidase deficiencies,Reactome,reactome,,,,['Intestinal saccharidase deficiencies'],ok,
R-HSA-6811442,R-HSA-6811442,127255,R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,Reactome,reactome,,,,['Intra-Golgi and retrograde Golgi-to-ER traffic'],ok,
R-HSA-6811438,R-HSA-6811438,127256,R-HSA-6811438,Intra-Golgi traffic,Reactome,reactome,,,,['Intra-Golgi traffic'],ok,
R-HSA-434313,R-HSA-434313,127257,R-HSA-434313,Intracellular metabolism of fatty acids regulates insulin secretion,Reactome,reactome,,,,['Intracellular metabolism of fatty acids regulates insulin secretion'],ok,
R-HSA-8981607,R-HSA-8981607,127258,R-HSA-8981607,Intracellular oxygen transport,Reactome,reactome,,,,['Intracellular oxygen transport'],ok,
R-HSA-9006925,R-HSA-9006925,127259,R-HSA-9006925,Intracellular signaling by second messengers,Reactome,reactome,,,,['Intracellular signaling by second messengers'],ok,
R-HSA-5620924,R-HSA-5620924,127260,R-HSA-5620924,Intraflagellar transport,Reactome,reactome,,,,['Intraflagellar transport'],ok,
R-HSA-109606,R-HSA-109606,127261,R-HSA-109606,Intrinsic Pathway for Apoptosis,Reactome,reactome,,,,['Intrinsic Pathway for Apoptosis'],ok,
R-HSA-140837,R-HSA-140837,127262,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,Reactome,reactome,,,,['Intrinsic Pathway of Fibrin Clot Formation'],ok,
R-HSA-8941237,R-HSA-8941237,127263,R-HSA-8941237,Invadopodia formation,Reactome,reactome,,,,['Invadopodia formation'],ok,
R-HSA-1296065,R-HSA-1296065,127264,R-HSA-1296065,Inwardly rectifying K+ channels,Reactome,reactome,,,,['Inwardly rectifying K+ channels'],ok,
R-HSA-983712,R-HSA-983712,127265,R-HSA-983712,Ion channel transport,Reactome,reactome,,,,['Ion channel transport'],ok,
R-HSA-5578775,R-HSA-5578775,127266,R-HSA-5578775,Ion homeostasis,Reactome,reactome,,,,['Ion homeostasis'],ok,
R-HSA-6803544,R-HSA-6803544,127267,R-HSA-6803544,Ion influx/efflux at host-pathogen interface,Reactome,reactome,,,,['Ion influx/efflux at host-pathogen interface'],ok,
R-HSA-936837,R-HSA-936837,127268,R-HSA-936837,Ion transport by P-type ATPases,Reactome,reactome,,,,['Ion transport by P-type ATPases'],ok,
R-HSA-451306,R-HSA-451306,127269,R-HSA-451306,Ionotropic activity of kainate receptors,Reactome,reactome,,,,['Ionotropic activity of kainate receptors'],ok,
R-HSA-9638334,R-HSA-9638334,127270,R-HSA-9638334,Iron assimilation using enterobactin,Reactome,reactome,,,,['Iron assimilation using enterobactin'],ok,
R-HSA-917937,R-HSA-917937,127271,R-HSA-917937,Iron uptake and transport,Reactome,reactome,,,,['Iron uptake and transport'],ok,
R-HSA-9914355,R-HSA-9914355,127272,R-HSA-9914355,Isovaleric acidemia,Reactome,reactome,,,,['Isovaleric acidemia'],ok,
R-HSA-450321,R-HSA-450321,127273,R-HSA-450321,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,Reactome,reactome,,,,['JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1'],ok,
R-HSA-5689877,R-HSA-5689877,127274,R-HSA-5689877,Josephin domain DUBs,Reactome,reactome,,,,['Josephin domain DUBs'],ok,
R-HSA-9755511,R-HSA-9755511,127275,R-HSA-9755511,KEAP1-NFE2L2 pathway,Reactome,reactome,,,,['KEAP1-NFE2L2 pathway'],ok,
R-HSA-9669921,R-HSA-9669921,127276,R-HSA-9669921,KIT mutants bind TKIs,Reactome,reactome,,,,['KIT mutants bind TKIs'],ok,
R-HSA-450604,R-HSA-450604,127277,R-HSA-450604,KSRP (KHSRP) binds and destabilizes mRNA,Reactome,reactome,,,,['KSRP (KHSRP) binds and destabilizes mRNA'],ok,
R-HSA-9702569,R-HSA-9702569,127278,R-HSA-9702569,KW2449-resistant FLT3 mutants,Reactome,reactome,,,,['KW2449-resistant FLT3 mutants'],ok,
R-HSA-2022854,R-HSA-2022854,127279,R-HSA-2022854,Keratan sulfate biosynthesis,Reactome,reactome,,,,['Keratan sulfate biosynthesis'],ok,
R-HSA-2022857,R-HSA-2022857,127280,R-HSA-2022857,Keratan sulfate degradation,Reactome,reactome,,,,['Keratan sulfate degradation'],ok,
R-HSA-1638074,R-HSA-1638074,127281,R-HSA-1638074,Keratan sulfate/keratin metabolism,Reactome,reactome,,,,['Keratan sulfate/keratin metabolism'],ok,
R-HSA-6805567,R-HSA-6805567,127282,R-HSA-6805567,Keratinization,Reactome,reactome,,,,['Keratinization'],ok,
R-HSA-74182,R-HSA-74182,127283,R-HSA-74182,Ketone body metabolism,Reactome,reactome,,,,['Ketone body metabolism'],ok,
R-HSA-9830369,R-HSA-9830369,127284,R-HSA-9830369,Kidney development,Reactome,reactome,,,,['Kidney development'],ok,
R-HSA-9664420,R-HSA-9664420,127285,R-HSA-9664420,Killing mechanisms,Reactome,reactome,,,,['Killing mechanisms'],ok,
R-HSA-983189,R-HSA-983189,127286,R-HSA-983189,Kinesins,Reactome,reactome,,,,['Kinesins'],ok,
R-HSA-156827,R-HSA-156827,127287,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,Reactome,reactome,,,,['L13a-mediated translational silencing of Ceruloplasmin expression'],ok,
R-HSA-373760,R-HSA-373760,127288,R-HSA-373760,L1CAM interactions,Reactome,reactome,,,,['L1CAM interactions'],ok,
R-HSA-8964038,R-HSA-8964038,127289,R-HSA-8964038,LDL clearance,Reactome,reactome,,,,['LDL clearance'],ok,
R-HSA-8964041,R-HSA-8964041,127290,R-HSA-8964041,LDL remodeling,Reactome,reactome,,,,['LDL remodeling'],ok,
R-HSA-5682910,R-HSA-5682910,127291,R-HSA-5682910,LGI-ADAM interactions,Reactome,reactome,,,,['LGI-ADAM interactions'],ok,
R-HSA-5340573,R-HSA-5340573,127292,R-HSA-5340573,LGK974 inhibits PORCN,Reactome,reactome,,,,['LGK974 inhibits PORCN'],ok,
R-HSA-3134973,R-HSA-3134973,127293,R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,Reactome,reactome,,,,['LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production'],ok,
R-HSA-9664535,R-HSA-9664535,127294,R-HSA-9664535,LTC4-CYSLTR mediated IL4 production,Reactome,reactome,,,,['LTC4-CYSLTR mediated IL4 production'],ok,
R-HSA-5653890,R-HSA-5653890,127295,R-HSA-5653890,Lactose synthesis,Reactome,reactome,,,,['Lactose synthesis'],ok,
R-HSA-69186,R-HSA-69186,127296,R-HSA-69186,Lagging Strand Synthesis,Reactome,reactome,,,,['Lagging Strand Synthesis'],ok,
R-HSA-3000157,R-HSA-3000157,127297,R-HSA-3000157,Laminin interactions,Reactome,reactome,,,,['Laminin interactions'],ok,
R-HSA-9969896,R-HSA-9969896,127298,R-HSA-9969896,Lanosterol biosynthesis,Reactome,reactome,,,,['Lanosterol biosynthesis'],ok,
R-HSA-162599,R-HSA-162599,127299,R-HSA-162599,Late Phase of HIV Life Cycle,Reactome,reactome,,,,['Late Phase of HIV Life Cycle'],ok,
R-HSA-9772573,R-HSA-9772573,127300,R-HSA-9772573,Late SARS-CoV-2 Infection Events,Reactome,reactome,,,,['Late SARS-CoV-2 Infection Events'],ok,
R-HSA-9615710,R-HSA-9615710,127301,R-HSA-9615710,Late endosomal microautophagy,Reactome,reactome,,,,['Late endosomal microautophagy'],ok,
R-HSA-1222499,R-HSA-1222499,127302,R-HSA-1222499,Latent infection - Other responses of Mtb to phagocytosis,Reactome,reactome,,,,['Latent infection - Other responses of Mtb to phagocytosis'],ok,
R-HSA-69109,R-HSA-69109,127303,R-HSA-69109,Leading Strand Synthesis,Reactome,reactome,,,,['Leading Strand Synthesis'],ok,
R-HSA-166662,R-HSA-166662,127304,R-HSA-166662,Lectin pathway of complement activation,Reactome,reactome,,,,['Lectin pathway of complement activation'],ok,
R-HSA-9658195,R-HSA-9658195,127305,R-HSA-9658195,Leishmania infection,Reactome,reactome,,,,['Leishmania infection'],ok,
R-HSA-9664433,R-HSA-9664433,127306,R-HSA-9664433,Leishmania parasite growth and survival,Reactome,reactome,,,,['Leishmania parasite growth and survival'],ok,
R-HSA-9664417,R-HSA-9664417,127307,R-HSA-9664417,Leishmania phagocytosis,Reactome,reactome,,,,['Leishmania phagocytosis'],ok,
R-HSA-391906,R-HSA-391906,127308,R-HSA-391906,Leukotriene receptors,Reactome,reactome,,,,['Leukotriene receptors'],ok,
R-HSA-9037629,R-HSA-9037629,127309,R-HSA-9037629,Lewis blood group biosynthesis,Reactome,reactome,,,,['Lewis blood group biosynthesis'],ok,
R-HSA-5632681,R-HSA-5632681,127310,R-HSA-5632681,Ligand-receptor interactions,Reactome,reactome,,,,['Ligand-receptor interactions'],ok,
R-HSA-2046105,R-HSA-2046105,127311,R-HSA-2046105,Linoleic acid (LA) metabolism,Reactome,reactome,,,,['Linoleic acid (LA) metabolism'],ok,
R-HSA-8964572,R-HSA-8964572,127312,R-HSA-8964572,Lipid particle organization,Reactome,reactome,,,,['Lipid particle organization'],ok,
R-HSA-9613354,R-HSA-9613354,127313,R-HSA-9613354,Lipophagy,Reactome,reactome,,,,['Lipophagy'],ok,
R-HSA-8876384,R-HSA-8876384,127314,R-HSA-8876384,Listeria monocytogenes entry into host cells,Reactome,reactome,,,,['Listeria monocytogenes entry into host cells'],ok,
R-HSA-446343,R-HSA-446343,127315,R-HSA-446343,Localization of the PINCH-ILK-PARVIN complex to focal adhesions,Reactome,reactome,,,,['Localization of the PINCH-ILK-PARVIN complex to focal adhesions'],ok,
R-HSA-9620244,R-HSA-9620244,127316,R-HSA-9620244,Long-term potentiation,Reactome,reactome,,,,['Long-term potentiation'],ok,
R-HSA-2644607,R-HSA-2644607,127317,R-HSA-2644607,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,Reactome,reactome,,,,['Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling'],ok,
R-HSA-9944971,R-HSA-9944971,127318,R-HSA-9944971,Loss of Function of KMT2D in Kabuki Syndrome,Reactome,reactome,,,,['Loss of Function of KMT2D in Kabuki Syndrome'],ok,
R-HSA-9944997,R-HSA-9944997,127319,R-HSA-9944997,Loss of Function of KMT2D in MLL4 Complex Formation in Kabuki Syndrome,Reactome,reactome,,,,['Loss of Function of KMT2D in MLL4 Complex Formation in Kabuki Syndrome'],ok,
R-HSA-3304349,R-HSA-3304349,127320,R-HSA-3304349,Loss of Function of SMAD2/3 in Cancer,Reactome,reactome,,,,['Loss of Function of SMAD2/3 in Cancer'],ok,
R-HSA-3304347,R-HSA-3304347,127321,R-HSA-3304347,Loss of Function of SMAD4 in Cancer,Reactome,reactome,,,,['Loss of Function of SMAD4 in Cancer'],ok,
R-HSA-3656534,R-HSA-3656534,127322,R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,Reactome,reactome,,,,['Loss of Function of TGFBR1 in Cancer'],ok,
R-HSA-3642278,R-HSA-3642278,127323,R-HSA-3642278,Loss of Function of TGFBR2 in Cancer,Reactome,reactome,,,,['Loss of Function of TGFBR2 in Cancer'],ok,
R-HSA-9723907,R-HSA-9723907,127324,R-HSA-9723907,Loss of Function of TP53 in Cancer,Reactome,reactome,,,,['Loss of Function of TP53 in Cancer'],ok,
R-HSA-9022534,R-HSA-9022534,127325,R-HSA-9022534,Loss of MECP2 binding ability to 5hmC-DNA,Reactome,reactome,,,,['Loss of MECP2 binding ability to 5hmC-DNA'],ok,
R-HSA-9022538,R-HSA-9022538,127326,R-HSA-9022538,Loss of MECP2 binding ability to 5mC-DNA,Reactome,reactome,,,,['Loss of MECP2 binding ability to 5mC-DNA'],ok,
R-HSA-9022537,R-HSA-9022537,127327,R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex,Reactome,reactome,,,,['Loss of MECP2 binding ability to the NCoR/SMRT complex'],ok,
R-HSA-380259,R-HSA-380259,127328,R-HSA-380259,Loss of Nlp from mitotic centrosomes,Reactome,reactome,,,,['Loss of Nlp from mitotic centrosomes'],ok,
R-HSA-9005891,R-HSA-9005891,127329,R-HSA-9005891,Loss of function of MECP2 in Rett syndrome,Reactome,reactome,,,,['Loss of function of MECP2 in Rett syndrome'],ok,
R-HSA-9723905,R-HSA-9723905,127330,R-HSA-9723905,Loss of function of TP53 in cancer due to loss of tetramerization ability,Reactome,reactome,,,,['Loss of function of TP53 in cancer due to loss of tetramerization ability'],ok,
R-HSA-9022535,R-HSA-9022535,127331,R-HSA-9022535,Loss of phosphorylation of MECP2 at T308,Reactome,reactome,,,,['Loss of phosphorylation of MECP2 at T308'],ok,
R-HSA-380284,R-HSA-380284,127332,R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,Reactome,reactome,,,,['Loss of proteins required for interphase microtubule organization from the centrosome'],ok,
R-HSA-9865125,R-HSA-9865125,127333,R-HSA-9865125,Loss-of-function mutations in BCKDHA or BCKDHB cause MSUD,Reactome,reactome,,,,['Loss-of-function mutations in BCKDHA or BCKDHB cause MSUD'],ok,
R-HSA-9865113,R-HSA-9865113,127334,R-HSA-9865113,Loss-of-function mutations in DBT cause MSUD2,Reactome,reactome,,,,['Loss-of-function mutations in DBT cause MSUD2'],ok,
R-HSA-9907570,R-HSA-9907570,127335,R-HSA-9907570,Loss-of-function mutations in DLD cause MSUD3/DLDD,Reactome,reactome,,,,['Loss-of-function mutations in DLD cause MSUD3/DLDD'],ok,
R-HSA-71064,R-HSA-71064,127336,R-HSA-71064,Lysine catabolism,Reactome,reactome,,,,['Lysine catabolism'],ok,
R-HSA-8853383,R-HSA-8853383,127337,R-HSA-8853383,Lysosomal oligosaccharide catabolism,Reactome,reactome,,,,['Lysosomal oligosaccharide catabolism'],ok,
R-HSA-432720,R-HSA-432720,127338,R-HSA-432720,Lysosome Vesicle Biogenesis,Reactome,reactome,,,,['Lysosome Vesicle Biogenesis'],ok,
R-HSA-419408,R-HSA-419408,127339,R-HSA-419408,Lysosphingolipid and LPA receptors,Reactome,reactome,,,,['Lysosphingolipid and LPA receptors'],ok,
R-HSA-68886,R-HSA-68886,127340,R-HSA-68886,M Phase,Reactome,reactome,,,,['M Phase'],ok,
R-HSA-9820841,R-HSA-9820841,127341,R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,Reactome,reactome,,,,['M-decay: degradation of maternal mRNAs by maternally stored factors'],ok,
R-HSA-450294,R-HSA-450294,127342,R-HSA-450294,MAP kinase activation,Reactome,reactome,,,,['MAP kinase activation'],ok,
R-HSA-5674135,R-HSA-5674135,127343,R-HSA-5674135,MAP2K and MAPK activation,Reactome,reactome,,,,['MAP2K and MAPK activation'],ok,
R-HSA-5684264,R-HSA-5684264,127344,R-HSA-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,Reactome,reactome,,,,['MAP3K8 (TPL2)-dependent MAPK1/3 activation'],ok,
R-HSA-5683057,R-HSA-5683057,127345,R-HSA-5683057,MAPK family signaling cascades,Reactome,reactome,,,,['MAPK family signaling cascades'],ok,
R-HSA-450282,R-HSA-450282,127346,R-HSA-450282,MAPK targets/ Nuclear events mediated by MAP kinases,Reactome,reactome,,,,['MAPK targets/ Nuclear events mediated by MAP kinases'],ok,
R-HSA-112411,R-HSA-112411,127347,R-HSA-112411,MAPK1 (ERK2) activation,Reactome,reactome,,,,['MAPK1 (ERK2) activation'],ok,
R-HSA-5684996,R-HSA-5684996,127348,R-HSA-5684996,MAPK1/MAPK3 signaling,Reactome,reactome,,,,['MAPK1/MAPK3 signaling'],ok,
R-HSA-110056,R-HSA-110056,127349,R-HSA-110056,MAPK3 (ERK1) activation,Reactome,reactome,,,,['MAPK3 (ERK1) activation'],ok,
R-HSA-5687128,R-HSA-5687128,127350,R-HSA-5687128,MAPK6/MAPK4 signaling,Reactome,reactome,,,,['MAPK6/MAPK4 signaling'],ok,
R-HSA-2465910,R-HSA-2465910,127351,R-HSA-2465910,MASTL Facilitates Mitotic Progression,Reactome,reactome,,,,['MASTL Facilitates Mitotic Progression'],ok,
R-HSA-9851151,R-HSA-9851151,127352,R-HSA-9851151,MDK and PTN in ALK signaling,Reactome,reactome,,,,['MDK and PTN in ALK signaling'],ok,
R-HSA-9022699,R-HSA-9022699,127353,R-HSA-9022699,MECP2 regulates neuronal receptors and channels,Reactome,reactome,,,,['MECP2 regulates neuronal receptors and channels'],ok,
R-HSA-9022707,R-HSA-9022707,127354,R-HSA-9022707,MECP2 regulates transcription factors,Reactome,reactome,,,,['MECP2 regulates transcription factors'],ok,
R-HSA-9022927,R-HSA-9022927,127355,R-HSA-9022927,MECP2 regulates transcription of genes involved in GABA signaling,Reactome,reactome,,,,['MECP2 regulates transcription of genes involved in GABA signaling'],ok,
R-HSA-9022702,R-HSA-9022702,127356,R-HSA-9022702,MECP2 regulates transcription of neuronal ligands,Reactome,reactome,,,,['MECP2 regulates transcription of neuronal ligands'],ok,
R-HSA-6806942,R-HSA-6806942,127357,R-HSA-6806942,MET Receptor Activation,Reactome,reactome,,,,['MET Receptor Activation'],ok,
R-HSA-8851907,R-HSA-8851907,127358,R-HSA-8851907,MET activates PI3K/AKT signaling,Reactome,reactome,,,,['MET activates PI3K/AKT signaling'],ok,
R-HSA-8874081,R-HSA-8874081,127359,R-HSA-8874081,MET activates PTK2 signaling,Reactome,reactome,,,,['MET activates PTK2 signaling'],ok,
R-HSA-8865999,R-HSA-8865999,127360,R-HSA-8865999,MET activates PTPN11,Reactome,reactome,,,,['MET activates PTPN11'],ok,
R-HSA-8875555,R-HSA-8875555,127361,R-HSA-8875555,MET activates RAP1 and RAC1,Reactome,reactome,,,,['MET activates RAP1 and RAC1'],ok,
R-HSA-8851805,R-HSA-8851805,127362,R-HSA-8851805,MET activates RAS signaling,Reactome,reactome,,,,['MET activates RAS signaling'],ok,
R-HSA-8875791,R-HSA-8875791,127363,R-HSA-8875791,MET activates STAT3,Reactome,reactome,,,,['MET activates STAT3'],ok,
R-HSA-8875513,R-HSA-8875513,127364,R-HSA-8875513,MET interacts with TNS proteins,Reactome,reactome,,,,['MET interacts with TNS proteins'],ok,
R-HSA-8875878,R-HSA-8875878,127365,R-HSA-8875878,MET promotes cell motility,Reactome,reactome,,,,['MET promotes cell motility'],ok,
R-HSA-8875656,R-HSA-8875656,127366,R-HSA-8875656,MET receptor recycling,Reactome,reactome,,,,['MET receptor recycling'],ok,
R-HSA-5657655,R-HSA-5657655,127367,R-HSA-5657655,MGMT-mediated DNA damage reversal,Reactome,reactome,,,,['MGMT-mediated DNA damage reversal'],ok,
R-HSA-2132295,R-HSA-2132295,127368,R-HSA-2132295,MHC class II antigen presentation,Reactome,reactome,,,,['MHC class II antigen presentation'],ok,
R-HSA-9856651,R-HSA-9856651,127369,R-HSA-9856651,MITF-M-dependent gene expression,Reactome,reactome,,,,['MITF-M-dependent gene expression'],ok,
R-HSA-9730414,R-HSA-9730414,127370,R-HSA-9730414,MITF-M-regulated melanocyte development,Reactome,reactome,,,,['MITF-M-regulated melanocyte development'],ok,
R-HSA-9841922,R-HSA-9841922,127371,R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,Reactome,reactome,,,,['MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis'],ok,
R-HSA-9953038,R-HSA-9953038,127372,R-HSA-9953038,MPS I - Hurler syndrome (CS/DS degradation),Reactome,reactome,,,,['MPS I - Hurler syndrome (CS/DS degradation)'],ok,
R-HSA-2206302,R-HSA-2206302,127373,R-HSA-2206302,MPS I - Hurler syndrome (HS-GAG degradation),Reactome,reactome,,,,['MPS I - Hurler syndrome (HS-GAG degradation)'],ok,
R-HSA-9953078,R-HSA-9953078,127374,R-HSA-9953078,MPS II - Hunter syndrome (CS/DS degradation),Reactome,reactome,,,,['MPS II - Hunter syndrome (CS/DS degradation)'],ok,
R-HSA-2206296,R-HSA-2206296,127375,R-HSA-2206296,MPS II - Hunter syndrome (HS-GAG degradation),Reactome,reactome,,,,['MPS II - Hunter syndrome (HS-GAG degradation)'],ok,
R-HSA-2206307,R-HSA-2206307,127376,R-HSA-2206307,MPS IIIA - Sanfilippo syndrome A,Reactome,reactome,,,,['MPS IIIA - Sanfilippo syndrome A'],ok,
R-HSA-2206282,R-HSA-2206282,127377,R-HSA-2206282,MPS IIIB - Sanfilippo syndrome B,Reactome,reactome,,,,['MPS IIIB - Sanfilippo syndrome B'],ok,
R-HSA-2206291,R-HSA-2206291,127378,R-HSA-2206291,MPS IIIC - Sanfilippo syndrome C,Reactome,reactome,,,,['MPS IIIC - Sanfilippo syndrome C'],ok,
R-HSA-2206305,R-HSA-2206305,127379,R-HSA-2206305,MPS IIID - Sanfilippo syndrome D,Reactome,reactome,,,,['MPS IIID - Sanfilippo syndrome D'],ok,
R-HSA-2206290,R-HSA-2206290,127380,R-HSA-2206290,MPS IV - Morquio syndrome A,Reactome,reactome,,,,['MPS IV - Morquio syndrome A'],ok,
R-HSA-9953111,R-HSA-9953111,127381,R-HSA-9953111,MPS IV - Morquio syndrome B (CS/DS degradation),Reactome,reactome,,,,['MPS IV - Morquio syndrome B (CS/DS degradation)'],ok,
R-HSA-2206308,R-HSA-2206308,127382,R-HSA-2206308,MPS IV - Morquio syndrome B (Keratin metabolism),Reactome,reactome,,,,['MPS IV - Morquio syndrome B (Keratin metabolism)'],ok,
R-HSA-9953097,R-HSA-9953097,127383,R-HSA-9953097,MPS IX - Natowicz syndrome (CS/DS degradation),Reactome,reactome,,,,['MPS IX - Natowicz syndrome (CS/DS degradation)'],ok,
R-HSA-2206280,R-HSA-2206280,127384,R-HSA-2206280,MPS IX - Natowicz syndrome (Hyaluronan metabolism),Reactome,reactome,,,,['MPS IX - Natowicz syndrome (Hyaluronan metabolism)'],ok,
R-HSA-2206285,R-HSA-2206285,127385,R-HSA-2206285,MPS VI - Maroteaux-Lamy syndrome,Reactome,reactome,,,,['MPS VI - Maroteaux-Lamy syndrome'],ok,
R-HSA-9953080,R-HSA-9953080,127386,R-HSA-9953080,MPS VII - Sly syndrome (CS/DS degradation),Reactome,reactome,,,,['MPS VII - Sly syndrome (CS/DS degradation)'],ok,
R-HSA-2206292,R-HSA-2206292,127387,R-HSA-2206292,MPS VII - Sly syndrome (Hyaluronan metabolism),Reactome,reactome,,,,['MPS VII - Sly syndrome (Hyaluronan metabolism)'],ok,
R-HSA-5660489,R-HSA-5660489,127388,R-HSA-5660489,MTF1 activates gene expression,Reactome,reactome,,,,['MTF1 activates gene expression'],ok,
R-HSA-165159,R-HSA-165159,127389,R-HSA-165159,MTOR signalling,Reactome,reactome,,,,['MTOR signalling'],ok,
R-HSA-1632852,R-HSA-1632852,127390,R-HSA-1632852,Macroautophagy,Reactome,reactome,,,,['Macroautophagy'],ok,
R-HSA-6791226,R-HSA-6791226,127391,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,Reactome,reactome,,,,['Major pathway of rRNA processing in the nucleolus and cytosol'],ok,
R-HSA-9856872,R-HSA-9856872,127392,R-HSA-9856872,Malate-aspartate shuttle,Reactome,reactome,,,,['Malate-aspartate shuttle'],ok,
R-HSA-9636667,R-HSA-9636667,127393,R-HSA-9636667,Manipulation of host energy metabolism,Reactome,reactome,,,,['Manipulation of host energy metabolism'],ok,
R-HSA-9865114,R-HSA-9865114,127394,R-HSA-9865114,Maple Syrup Urine Disease,Reactome,reactome,,,,['Maple Syrup Urine Disease'],ok,
R-HSA-9669924,R-HSA-9669924,127395,R-HSA-9669924,Masitinib-resistant KIT mutants,Reactome,reactome,,,,['Masitinib-resistant KIT mutants'],ok,
R-HSA-9816359,R-HSA-9816359,127396,R-HSA-9816359,Maternal to zygotic transition (MZT),Reactome,reactome,,,,['Maternal to zygotic transition (MZT)'],ok,
R-HSA-9939291,R-HSA-9939291,127397,R-HSA-9939291,Matriglycan biosynthesis on DAG1,Reactome,reactome,,,,['Matriglycan biosynthesis on DAG1'],ok,
R-HSA-9918432,R-HSA-9918432,127398,R-HSA-9918432,Maturation of DENV proteins,Reactome,reactome,,,,['Maturation of DENV proteins'],ok,
R-HSA-9854311,R-HSA-9854311,127399,R-HSA-9854311,Maturation of TCA enzymes and regulation of TCA cycle,Reactome,reactome,,,,['Maturation of TCA enzymes and regulation of TCA cycle'],ok,
R-HSA-9828806,R-HSA-9828806,127400,R-HSA-9828806,Maturation of hRSV A proteins,Reactome,reactome,,,,['Maturation of hRSV A proteins'],ok,
R-HSA-9683610,R-HSA-9683610,127401,R-HSA-9683610,Maturation of nucleoprotein,Reactome,reactome,,,,['Maturation of nucleoprotein'],ok,
R-HSA-9694631,R-HSA-9694631,127402,R-HSA-9694631,Maturation of nucleoprotein,Reactome,reactome,,,,['Maturation of nucleoprotein'],ok,
R-HSA-9683673,R-HSA-9683673,127403,R-HSA-9683673,Maturation of protein 3a,Reactome,reactome,,,,['Maturation of protein 3a'],ok,
R-HSA-9694719,R-HSA-9694719,127404,R-HSA-9694719,Maturation of protein 3a,Reactome,reactome,,,,['Maturation of protein 3a'],ok,
R-HSA-9683683,R-HSA-9683683,127405,R-HSA-9683683,Maturation of protein E,Reactome,reactome,,,,['Maturation of protein E'],ok,
R-HSA-9694493,R-HSA-9694493,127406,R-HSA-9694493,Maturation of protein E,Reactome,reactome,,,,['Maturation of protein E'],ok,
R-HSA-9683612,R-HSA-9683612,127407,R-HSA-9683612,Maturation of protein M,Reactome,reactome,,,,['Maturation of protein M'],ok,
R-HSA-9694594,R-HSA-9694594,127408,R-HSA-9694594,Maturation of protein M,Reactome,reactome,,,,['Maturation of protein M'],ok,
R-HSA-9684325,R-HSA-9684325,127409,R-HSA-9684325,Maturation of replicase proteins,Reactome,reactome,,,,['Maturation of replicase proteins'],ok,
R-HSA-9694301,R-HSA-9694301,127410,R-HSA-9694301,Maturation of replicase proteins,Reactome,reactome,,,,['Maturation of replicase proteins'],ok,
R-HSA-9683686,R-HSA-9683686,127411,R-HSA-9683686,Maturation of spike protein,Reactome,reactome,,,,['Maturation of spike protein'],ok,
R-HSA-9694548,R-HSA-9694548,127412,R-HSA-9694548,Maturation of spike protein,Reactome,reactome,,,,['Maturation of spike protein'],ok,
R-HSA-9856532,R-HSA-9856532,127413,R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,Reactome,reactome,,,,['Mechanical load activates signaling by PIEZO1 and integrins in osteocytes'],ok,
R-HSA-1500620,R-HSA-1500620,127414,R-HSA-1500620,Meiosis,Reactome,reactome,,,,['Meiosis'],ok,
R-HSA-912446,R-HSA-912446,127415,R-HSA-912446,Meiotic recombination,Reactome,reactome,,,,['Meiotic recombination'],ok,
R-HSA-1221632,R-HSA-1221632,127416,R-HSA-1221632,Meiotic synapsis,Reactome,reactome,,,,['Meiotic synapsis'],ok,
R-HSA-5662702,R-HSA-5662702,127417,R-HSA-5662702,Melanin biosynthesis,Reactome,reactome,,,,['Melanin biosynthesis'],ok,
R-HSA-199991,R-HSA-199991,127418,R-HSA-199991,Membrane Trafficking,Reactome,reactome,,,,['Membrane Trafficking'],ok,
R-HSA-174490,R-HSA-174490,127419,R-HSA-174490,Membrane binding and targetting of GAG proteins,Reactome,reactome,,,,['Membrane binding and targetting of GAG proteins'],ok,
