id,entity_id,hgnc_status,hgnc_id,entrez_id,ensembl_id,data_source_id,locus_group_id,locus_type_id
34207,34207,Approved,HGNC:13565,50859.0,ENSG00000196104,1,1,1
34208,34208,Approved,HGNC:11252,10418.0,ENSG00000262655,1,1,1
34209,34209,Approved,HGNC:53117,109729138.0,ENSG00000254418,1,2,2
34210,34210,Approved,HGNC:11253,10417.0,ENSG00000159674,1,1,1
34211,34211,Approved,HGNC:58121,,ENSG00000273179,1,2,2
34212,34212,Approved,HGNC:11254,8405.0,ENSG00000121067,1,1,1
34213,34213,Approved,HGNC:27934,339745.0,ENSG00000144228,1,1,1
34214,34214,Approved,HGNC:55802,105373637.0,ENSG00000228043,1,2,2
34215,34215,Approved,HGNC:56791,100127903.0,ENSG00000251284,1,3,3
34216,34216,Approved,HGNC:56792,642381.0,ENSG00000250277,1,3,3
34217,34217,Approved,HGNC:56793,100174950.0,ENSG00000248547,1,3,3
34218,34218,Approved,HGNC:26933,51490.0,ENSG00000198917,1,1,1
34219,34219,Approved,HGNC:11255,6696.0,ENSG00000118785,1,1,1
34220,34220,Approved,HGNC:11256,6694.0,ENSG00000072080,1,1,1
34221,34221,Approved,HGNC:30227,84888.0,ENSG00000138600,1,1,1
34222,34222,Approved,HGNC:30627,56928.0,ENSG00000005206,1,1,1
34223,34223,Approved,HGNC:28902,162540.0,ENSG00000185294,1,1,1
34224,34224,Approved,HGNC:30424,121665.0,ENSG00000157837,1,1,1
34225,34225,Approved,HGNC:11257,6697.0,ENSG00000116096,1,1,1
34226,34226,Approved,HGNC:20249,161742.0,ENSG00000166068,1,1,1
34227,34227,Approved,HGNC:17722,200734.0,ENSG00000198369,1,1,1
34228,34228,Approved,HGNC:31041,399473.0,ENSG00000188766,1,1,1
34229,34229,Approved,HGNC:26128,79794.0,ENSG00000111412,1,1,1
34230,34230,Approved,HGNC:44986,100132615.0,ENSG00000271173,1,3,3
34231,34231,Approved,HGNC:55130,100130170.0,ENSG00000238188,1,3,3
34232,34232,Approved,HGNC:56328,441750.0,ENSG00000261748,1,3,3
34233,34233,Approved,HGNC:16871,503542.0,ENSG00000203772,1,1,1
34234,34234,Approved,HGNC:37819,399833.0,,1,3,3
34235,34235,Approved,HGNC:11259,6698.0,ENSG00000169474,1,1,1
34236,34236,Approved,HGNC:11260,6699.0,ENSG00000169469,1,1,1
34237,34237,Approved,HGNC:11261,6700.0,ENSG00000241794,1,1,1
34238,34238,Approved,HGNC:11262,6701.0,ENSG00000196805,1,1,1
34239,34239,Approved,HGNC:11263,6702.0,ENSG00000229035,1,3,3
34240,34240,Approved,HGNC:11264,6703.0,ENSG00000163216,1,1,1
34241,34241,Approved,HGNC:11265,6704.0,ENSG00000203785,1,1,1
34242,34242,Approved,HGNC:11266,6705.0,ENSG00000244094,1,1,1
34243,34243,Approved,HGNC:11267,6706.0,ENSG00000159516,1,1,1
34244,34244,Approved,HGNC:11268,6707.0,ENSG00000163209,1,1,1
34245,34245,Approved,HGNC:23173,163778.0,ENSG00000184148,1,1,1
34246,34246,Approved,HGNC:53428,110806278.0,ENSG00000283227,1,1,1
34247,34247,Approved,HGNC:25356,83932.0,ENSG00000010072,1,1,1
34248,34248,Approved,HGNC:11269,10252.0,ENSG00000164056,1,1,1
34249,34249,Approved,HGNC:11270,10253.0,ENSG00000136158,1,1,1
34250,34250,Approved,HGNC:11271,10251.0,ENSG00000168939,1,1,1
